SBRN,field,before,after,rule
SBRN2011,Unit of Measure,Box,BOX,standardization_or_format_normalization
SBRN2011,Manufacturer Name,SurgiTech Corp,SurgiTech LLC,standardization_or_format_normalization
SBRN2011,Recall Status,Active Recall,Active,standardization_or_format_normalization
SBRN2011,Order Status,Ordered,Pending,standardization_or_format_normalization
SBRN2011,Purchase Date,2024-11-03 00:00:00,2024-11-03,standardization_or_format_normalization
SBRN2011,Expiration Date,2021-08-26 00:00:00,2021-08-26,standardization_or_format_normalization
SBRN2012,Manufacturer Name,MedSupply LLC,MedSupply Corp,standardization_or_format_normalization
SBRN2012,Order Status,Received,Delivered,standardization_or_format_normalization
SBRN2012,Purchase Date,2021-04-25 00:00:00,2021-04-25,standardization_or_format_normalization
SBRN2012,Expiration Date,2024-03-29 00:00:00,2024-03-29,standardization_or_format_normalization
SBRN2013,Manufacturer Name,MedSupply LLC,MedSupply Corp,standardization_or_format_normalization
SBRN2013,Order Status,Received,Delivered,standardization_or_format_normalization
SBRN2013,Purchase Date,2021-04-25 00:00:00,2021-04-25,standardization_or_format_normalization
SBRN2013,Expiration Date,2024-03-29 00:00:00,2024-03-29,standardization_or_format_normalization
SBRN2014,Manufacturer Name,MedSupply LLC,MedSupply Corp,standardization_or_format_normalization
SBRN2014,Order Status,Received,Delivered,standardization_or_format_normalization
SBRN2014,Purchase Date,2021-04-25 00:00:00,2021-04-25,standardization_or_format_normalization
SBRN2014,Expiration Date,2024-03-29 00:00:00,2024-03-29,standardization_or_format_normalization
SBRN2015,Manufacturer Name,MedSupply LLC,MedSupply Corp,standardization_or_format_normalization
SBRN2015,Order Status,Received,Delivered,standardization_or_format_normalization
SBRN2015,Purchase Date,2021-04-25 00:00:00,2021-04-25,standardization_or_format_normalization
SBRN2015,Expiration Date,2024-03-29 00:00:00,2024-03-29,standardization_or_format_normalization
SBRN2016,Unit of Measure,Each,EA,standardization_or_format_normalization
SBRN2016,Recall Status,,None,standardization_or_format_normalization
SBRN2016,Order Status,Cancelled,Canceled,standardization_or_format_normalization
SBRN2016,Purchase Date,2024-03-27 00:00:00,2024-03-27,standardization_or_format_normalization
SBRN2016,Expiration Date,2022-11-27 00:00:00,2022-11-27,standardization_or_format_normalization
SBRN2017,Unit of Measure,Each,EA,standardization_or_format_normalization
SBRN2017,Recall Status,,None,standardization_or_format_normalization
SBRN2017,Order Status,Cancelled,Canceled,standardization_or_format_normalization
SBRN2017,Purchase Date,2024-03-27 00:00:00,2024-03-27,standardization_or_format_normalization
SBRN2017,Expiration Date,2022-11-27 00:00:00,2022-11-27,standardization_or_format_normalization
SBRN2018,Unit of Measure,Unit,UNIT,standardization_or_format_normalization
SBRN2018,Manufacturer Name,MedSupply,MedSupply Corp,standardization_or_format_normalization
SBRN2018,Order Status,Cancelled,Canceled,standardization_or_format_normalization
SBRN2018,Purchase Date,2024-05-16 00:00:00,2024-05-16,standardization_or_format_normalization
SBRN2018,Expiration Date,2023-06-15 00:00:00,2023-06-15,standardization_or_format_normalization
SBRN2019,Unit of Measure,Unit,UNIT,standardization_or_format_normalization
SBRN2019,Manufacturer Name,MedSupply,MedSupply Corp,standardization_or_format_normalization
SBRN2019,Order Status,Cancelled,Canceled,standardization_or_format_normalization
SBRN2019,Purchase Date,2024-05-16 00:00:00,2024-05-16,standardization_or_format_normalization
SBRN2019,Expiration Date,2023-06-15 00:00:00,2023-06-15,standardization_or_format_normalization
SBRN2020,Unit of Measure,Unit,UNIT,standardization_or_format_normalization
SBRN2020,Manufacturer Name,MedSupply,MedSupply Corp,standardization_or_format_normalization
SBRN2020,Order Status,Cancelled,Canceled,standardization_or_format_normalization
SBRN2020,Purchase Date,2024-05-16 00:00:00,2024-05-16,standardization_or_format_normalization
SBRN2020,Expiration Date,2023-06-15 00:00:00,2023-06-15,standardization_or_format_normalization
SBRN2021,Unit of Measure,Unit,UNIT,standardization_or_format_normalization
SBRN2021,Manufacturer Name,MedSupply,MedSupply Corp,standardization_or_format_normalization
SBRN2021,Order Status,Cancelled,Canceled,standardization_or_format_normalization
SBRN2021,Purchase Date,2024-05-16 00:00:00,2024-05-16,standardization_or_format_normalization
SBRN2021,Expiration Date,2023-06-15 00:00:00,2023-06-15,standardization_or_format_normalization
SBRN2022,Unit of Measure,Unit,UNIT,standardization_or_format_normalization
SBRN2022,Manufacturer Name,MedSupply,MedSupply Corp,standardization_or_format_normalization
SBRN2022,Order Status,Cancelled,Canceled,standardization_or_format_normalization
SBRN2022,Purchase Date,2024-05-16 00:00:00,2024-05-16,standardization_or_format_normalization
SBRN2022,Expiration Date,2023-06-15 00:00:00,2023-06-15,standardization_or_format_normalization
SBRN2023,Unit of Measure,Unit,UNIT,standardization_or_format_normalization
SBRN2023,Manufacturer Name,MedSupply,MedSupply Corp,standardization_or_format_normalization
SBRN2023,Order Status,Cancelled,Canceled,standardization_or_format_normalization
SBRN2023,Purchase Date,2024-05-16 00:00:00,2024-05-16,standardization_or_format_normalization
SBRN2023,Expiration Date,2023-06-15 00:00:00,2023-06-15,standardization_or_format_normalization
SBRN2024,Recall Status,Active Recall,Active,standardization_or_format_normalization
SBRN2024,Order Status,Cancelled,Canceled,standardization_or_format_normalization
SBRN2024,Purchase Date,2027-07-29 00:00:00,2027-07-29,standardization_or_format_normalization
SBRN2024,Expiration Date,2028-03-03 00:00:00,2028-03-03,standardization_or_format_normalization
SBRN2025,Recall Status,Active Recall,Active,standardization_or_format_normalization
SBRN2025,Order Status,Cancelled,Canceled,standardization_or_format_normalization
SBRN2025,Purchase Date,2027-07-29 00:00:00,2027-07-29,standardization_or_format_normalization
SBRN2025,Expiration Date,2028-03-03 00:00:00,2028-03-03,standardization_or_format_normalization
SBRN2026,Recall Status,Active Recall,Active,standardization_or_format_normalization
SBRN2026,Order Status,Cancelled,Canceled,standardization_or_format_normalization
SBRN2026,Purchase Date,2027-07-29 00:00:00,2027-07-29,standardization_or_format_normalization
SBRN2026,Expiration Date,2028-03-03 00:00:00,2028-03-03,standardization_or_format_normalization
SBRN2027,Recall Status,Active Recall,Active,standardization_or_format_normalization
SBRN2027,Order Status,Cancelled,Canceled,standardization_or_format_normalization
SBRN2027,Purchase Date,2027-07-29 00:00:00,2027-07-29,standardization_or_format_normalization
SBRN2027,Expiration Date,2028-03-03 00:00:00,2028-03-03,standardization_or_format_normalization
SBRN2028,Recall Status,Active Recall,Active,standardization_or_format_normalization
SBRN2028,Order Status,Cancelled,Canceled,standardization_or_format_normalization
SBRN2028,Purchase Date,2027-07-29 00:00:00,2027-07-29,standardization_or_format_normalization
SBRN2028,Expiration Date,2028-03-03 00:00:00,2028-03-03,standardization_or_format_normalization
SBRN2029,Manufacturer Name,MedSupply LLC,MedSupply Corp,standardization_or_format_normalization
SBRN2029,Order Status,Backordered,Pending,standardization_or_format_normalization
SBRN2029,Purchase Date,2021-06-22 00:00:00,2021-06-22,standardization_or_format_normalization
SBRN2029,Expiration Date,07/28/2020,,standardization_or_format_normalization
SBRN2030,Manufacturer Name,MedSupply LLC,MedSupply Corp,standardization_or_format_normalization
SBRN2030,Order Status,Backordered,Pending,standardization_or_format_normalization
SBRN2030,Purchase Date,2021-06-22 00:00:00,2021-06-22,standardization_or_format_normalization
SBRN2030,Expiration Date,07/28/2020,,standardization_or_format_normalization
SBRN2031,Manufacturer Name,MedSupply LLC,MedSupply Corp,standardization_or_format_normalization
SBRN2031,Order Status,Backordered,Pending,standardization_or_format_normalization
SBRN2031,Purchase Date,2021-06-22 00:00:00,2021-06-22,standardization_or_format_normalization
SBRN2031,Expiration Date,07/28/2020,,standardization_or_format_normalization
SBRN2032,Manufacturer Name,MedSupply LLC,MedSupply Corp,standardization_or_format_normalization
SBRN2032,Order Status,Backordered,Pending,standardization_or_format_normalization
SBRN2032,Purchase Date,2021-06-22 00:00:00,2021-06-22,standardization_or_format_normalization
SBRN2032,Expiration Date,07/28/2020,,standardization_or_format_normalization
SBRN2033,Unit of Measure,Box,BOX,standardization_or_format_normalization
SBRN2033,Manufacturer Name,SurgiTech Corp,SurgiTech LLC,standardization_or_format_normalization
SBRN2033,Recall Status,Active Recall,Active,standardization_or_format_normalization
SBRN2033,Order Status,Cancelled,Canceled,standardization_or_format_normalization
SBRN2033,Purchase Date,2027-08-05 00:00:00,2027-08-05,standardization_or_format_normalization
SBRN2033,Expiration Date,2028-12-30 00:00:00,2028-12-30,standardization_or_format_normalization
SBRN2034,Unit of Measure,Box,BOX,standardization_or_format_normalization
SBRN2034,Manufacturer Name,SurgiTech Corp,SurgiTech LLC,standardization_or_format_normalization
SBRN2034,Recall Status,Active Recall,Active,standardization_or_format_normalization
SBRN2034,Order Status,Cancelled,Canceled,standardization_or_format_normalization
SBRN2034,Purchase Date,2027-08-05 00:00:00,2027-08-05,standardization_or_format_normalization
SBRN2034,Expiration Date,2028-12-30 00:00:00,2028-12-30,standardization_or_format_normalization
SBRN2035,Recall Status,Active Recall,Active,standardization_or_format_normalization
SBRN2035,Order Status,Ordered,Pending,standardization_or_format_normalization
SBRN2035,Purchase Date,2026-08-20 00:00:00,2026-08-20,standardization_or_format_normalization
SBRN2035,Expiration Date,2025-04-10 00:00:00,2025-04-10,standardization_or_format_normalization
SBRN2036,Recall Status,Active Recall,Active,standardization_or_format_normalization
SBRN2036,Order Status,Ordered,Pending,standardization_or_format_normalization
SBRN2036,Purchase Date,2026-08-20 00:00:00,2026-08-20,standardization_or_format_normalization
SBRN2036,Expiration Date,2025-04-10 00:00:00,2025-04-10,standardization_or_format_normalization
SBRN2037,Manufacturer Name,Health Corp,HealthCorp Intl,standardization_or_format_normalization
SBRN2037,Order Status,Ordered,Pending,standardization_or_format_normalization
SBRN2037,Purchase Date,2022-07-24 00:00:00,2022-07-24,standardization_or_format_normalization
SBRN2037,Expiration Date,2026-01-30 00:00:00,2026-01-30,standardization_or_format_normalization
SBRN2038,Manufacturer Name,Health Corp,HealthCorp Intl,standardization_or_format_normalization
SBRN2038,Order Status,Ordered,Pending,standardization_or_format_normalization
SBRN2038,Purchase Date,2022-07-24 00:00:00,2022-07-24,standardization_or_format_normalization
SBRN2038,Expiration Date,2026-01-30 00:00:00,2026-01-30,standardization_or_format_normalization
SBRN2039,Manufacturer Name,Health Corp,HealthCorp Intl,standardization_or_format_normalization
SBRN2039,Order Status,Ordered,Pending,standardization_or_format_normalization
SBRN2039,Purchase Date,2022-07-24 00:00:00,2022-07-24,standardization_or_format_normalization
SBRN2039,Expiration Date,2026-01-30 00:00:00,2026-01-30,standardization_or_format_normalization
SBRN2040,Manufacturer Name,Health Corp,HealthCorp Intl,standardization_or_format_normalization
SBRN2040,Order Status,Ordered,Pending,standardization_or_format_normalization
SBRN2040,Purchase Date,2022-07-24 00:00:00,2022-07-24,standardization_or_format_normalization
SBRN2040,Expiration Date,2026-01-30 00:00:00,2026-01-30,standardization_or_format_normalization
SBRN2041,Manufacturer Name,Health Corp,HealthCorp Intl,standardization_or_format_normalization
SBRN2041,Order Status,Ordered,Pending,standardization_or_format_normalization
SBRN2041,Purchase Date,2022-07-24 00:00:00,2022-07-24,standardization_or_format_normalization
SBRN2041,Expiration Date,2026-01-30 00:00:00,2026-01-30,standardization_or_format_normalization
SBRN2042,Manufacturer Name,Health Corp,HealthCorp Intl,standardization_or_format_normalization
SBRN2042,Order Status,Ordered,Pending,standardization_or_format_normalization
SBRN2042,Purchase Date,2022-07-24 00:00:00,2022-07-24,standardization_or_format_normalization
SBRN2042,Expiration Date,2026-01-30 00:00:00,2026-01-30,standardization_or_format_normalization
SBRN2043,Unit of Measure,Each,EA,standardization_or_format_normalization
SBRN2043,Order Status,Cancelled,Canceled,standardization_or_format_normalization
SBRN2043,Purchase Date,2024-10-28 00:00:00,2024-10-28,standardization_or_format_normalization
SBRN2043,Expiration Date,2020-12-13 00:00:00,2020-12-13,standardization_or_format_normalization
SBRN2044,Unit of Measure,Each,EA,standardization_or_format_normalization
SBRN2044,Order Status,Cancelled,Canceled,standardization_or_format_normalization
SBRN2044,Purchase Date,2024-10-28 00:00:00,2024-10-28,standardization_or_format_normalization
SBRN2044,Expiration Date,2020-12-13 00:00:00,2020-12-13,standardization_or_format_normalization
SBRN2045,Unit of Measure,Each,EA,standardization_or_format_normalization
SBRN2045,Order Status,Cancelled,Canceled,standardization_or_format_normalization
SBRN2045,Purchase Date,2024-10-28 00:00:00,2024-10-28,standardization_or_format_normalization
SBRN2045,Expiration Date,2020-12-13 00:00:00,2020-12-13,standardization_or_format_normalization
SBRN2046,Unit of Measure,Each,EA,standardization_or_format_normalization
SBRN2046,Order Status,Cancelled,Canceled,standardization_or_format_normalization
SBRN2046,Purchase Date,2024-10-28 00:00:00,2024-10-28,standardization_or_format_normalization
SBRN2046,Expiration Date,2020-12-13 00:00:00,2020-12-13,standardization_or_format_normalization
SBRN2047,Unit of Measure,Each,EA,standardization_or_format_normalization
SBRN2047,Order Status,Cancelled,Canceled,standardization_or_format_normalization
SBRN2047,Purchase Date,2024-10-28 00:00:00,2024-10-28,standardization_or_format_normalization
SBRN2047,Expiration Date,2020-12-13 00:00:00,2020-12-13,standardization_or_format_normalization
SBRN2048,Unit of Measure,Each,EA,standardization_or_format_normalization
SBRN2048,Manufacturer Name,Med-Supply,MedSupply Corp,standardization_or_format_normalization
SBRN2048,Recall Status,,None,standardization_or_format_normalization
SBRN2048,Order Status,Ordered,Pending,standardization_or_format_normalization
SBRN2048,Purchase Date,2023-07-17 00:00:00,2023-07-17,standardization_or_format_normalization
SBRN2048,Expiration Date,2020-09-16 00:00:00,2020-09-16,standardization_or_format_normalization
SBRN2049,Unit of Measure,Each,EA,standardization_or_format_normalization
SBRN2049,Manufacturer Name,Med-Supply,MedSupply Corp,standardization_or_format_normalization
SBRN2049,Recall Status,,None,standardization_or_format_normalization
SBRN2049,Order Status,Ordered,Pending,standardization_or_format_normalization
SBRN2049,Purchase Date,2023-07-17 00:00:00,2023-07-17,standardization_or_format_normalization
SBRN2049,Expiration Date,2020-09-16 00:00:00,2020-09-16,standardization_or_format_normalization
SBRN2050,Unit of Measure,Each,EA,standardization_or_format_normalization
SBRN2050,Order Status,Backordered,Pending,standardization_or_format_normalization
SBRN2050,Purchase Date,2021-07-30 00:00:00,2021-07-30,standardization_or_format_normalization
SBRN2050,Expiration Date,2026-03-22 00:00:00,2026-03-22,standardization_or_format_normalization
SBRN2051,Unit of Measure,Each,EA,standardization_or_format_normalization
SBRN2051,Order Status,Backordered,Pending,standardization_or_format_normalization
SBRN2051,Purchase Date,2021-07-30 00:00:00,2021-07-30,standardization_or_format_normalization
SBRN2051,Expiration Date,2026-03-22 00:00:00,2026-03-22,standardization_or_format_normalization
SBRN2052,Unit of Measure,Each,EA,standardization_or_format_normalization
SBRN2052,Order Status,Backordered,Pending,standardization_or_format_normalization
SBRN2052,Purchase Date,2021-07-30 00:00:00,2021-07-30,standardization_or_format_normalization
SBRN2052,Expiration Date,2026-03-22 00:00:00,2026-03-22,standardization_or_format_normalization
SBRN2053,Unit of Measure,Each,EA,standardization_or_format_normalization
SBRN2053,Order Status,Backordered,Pending,standardization_or_format_normalization
SBRN2053,Purchase Date,2021-07-30 00:00:00,2021-07-30,standardization_or_format_normalization
SBRN2053,Expiration Date,2026-03-22 00:00:00,2026-03-22,standardization_or_format_normalization
SBRN2054,Unit of Measure,Each,EA,standardization_or_format_normalization
SBRN2054,Order Status,Backordered,Pending,standardization_or_format_normalization
SBRN2054,Purchase Date,2021-07-30 00:00:00,2021-07-30,standardization_or_format_normalization
SBRN2054,Expiration Date,2026-03-22 00:00:00,2026-03-22,standardization_or_format_normalization
SBRN2055,Unit of Measure,Each,EA,standardization_or_format_normalization
SBRN2055,Order Status,Backordered,Pending,standardization_or_format_normalization
SBRN2055,Purchase Date,2021-07-30 00:00:00,2021-07-30,standardization_or_format_normalization
SBRN2055,Expiration Date,2026-03-22 00:00:00,2026-03-22,standardization_or_format_normalization
SBRN2056,Unit of Measure,Each,EA,standardization_or_format_normalization
SBRN2056,Order Status,Backordered,Pending,standardization_or_format_normalization
SBRN2056,Purchase Date,2021-07-30 00:00:00,2021-07-30,standardization_or_format_normalization
SBRN2056,Expiration Date,2026-03-22 00:00:00,2026-03-22,standardization_or_format_normalization
SBRN2057,Unit of Measure,Each,EA,standardization_or_format_normalization
SBRN2057,Order Status,Backordered,Pending,standardization_or_format_normalization
SBRN2057,Purchase Date,2021-01-03 00:00:00,2021-01-03,standardization_or_format_normalization
SBRN2057,Expiration Date,2028-04-22 00:00:00,2028-04-22,standardization_or_format_normalization
SBRN2058,Unit of Measure,Each,EA,standardization_or_format_normalization
SBRN2058,Order Status,Backordered,Pending,standardization_or_format_normalization
SBRN2058,Purchase Date,2021-01-03 00:00:00,2021-01-03,standardization_or_format_normalization
SBRN2058,Expiration Date,2028-04-22 00:00:00,2028-04-22,standardization_or_format_normalization
SBRN2059,Unit of Measure,Each,EA,standardization_or_format_normalization
SBRN2059,Order Status,Backordered,Pending,standardization_or_format_normalization
SBRN2059,Purchase Date,2021-01-03 00:00:00,2021-01-03,standardization_or_format_normalization
SBRN2059,Expiration Date,2028-04-22 00:00:00,2028-04-22,standardization_or_format_normalization
SBRN2060,Unit of Measure,Each,EA,standardization_or_format_normalization
SBRN2060,Manufacturer Name,HealthCorp,HealthCorp Intl,standardization_or_format_normalization
SBRN2060,Recall Status,,None,standardization_or_format_normalization
SBRN2060,Order Status,Backordered,Pending,standardization_or_format_normalization
SBRN2060,Purchase Date,2020-05-16 00:00:00,2020-05-16,standardization_or_format_normalization
SBRN2060,Expiration Date,2020-04-15 00:00:00,2020-04-15,standardization_or_format_normalization
SBRN2061,Unit of Measure,Each,EA,standardization_or_format_normalization
SBRN2061,Manufacturer Name,HealthCorp,HealthCorp Intl,standardization_or_format_normalization
SBRN2061,Recall Status,,None,standardization_or_format_normalization
SBRN2061,Order Status,Backordered,Pending,standardization_or_format_normalization
SBRN2061,Purchase Date,2020-05-16 00:00:00,2020-05-16,standardization_or_format_normalization
SBRN2061,Expiration Date,2020-04-15 00:00:00,2020-04-15,standardization_or_format_normalization
SBRN2062,Unit of Measure,Each,EA,standardization_or_format_normalization
SBRN2062,Manufacturer Name,HealthCorp,HealthCorp Intl,standardization_or_format_normalization
SBRN2062,Recall Status,,None,standardization_or_format_normalization
SBRN2062,Order Status,Backordered,Pending,standardization_or_format_normalization
SBRN2062,Purchase Date,2020-05-16 00:00:00,2020-05-16,standardization_or_format_normalization
SBRN2062,Expiration Date,2020-04-15 00:00:00,2020-04-15,standardization_or_format_normalization
SBRN2063,Unit of Measure,PK,PACK,standardization_or_format_normalization
SBRN2063,Manufacturer Name,Med-Supply,MedSupply Corp,standardization_or_format_normalization
SBRN2063,Recall Status,Active Recall,Active,standardization_or_format_normalization
SBRN2063,Order Status,Backordered,Pending,standardization_or_format_normalization
SBRN2063,Purchase Date,2027-06-23 00:00:00,2027-06-23,standardization_or_format_normalization
SBRN2063,Expiration Date,2028-03-11 00:00:00,2028-03-11,standardization_or_format_normalization
SBRN2064,Unit of Measure,PK,PACK,standardization_or_format_normalization
SBRN2064,Manufacturer Name,Med-Supply,MedSupply Corp,standardization_or_format_normalization
SBRN2064,Recall Status,Active Recall,Active,standardization_or_format_normalization
SBRN2064,Order Status,Backordered,Pending,standardization_or_format_normalization
SBRN2064,Purchase Date,2027-06-23 00:00:00,2027-06-23,standardization_or_format_normalization
SBRN2064,Expiration Date,2028-03-11 00:00:00,2028-03-11,standardization_or_format_normalization
SBRN2065,Unit of Measure,PK,PACK,standardization_or_format_normalization
SBRN2065,Manufacturer Name,Med-Supply,MedSupply Corp,standardization_or_format_normalization
SBRN2065,Recall Status,Active Recall,Active,standardization_or_format_normalization
SBRN2065,Order Status,Backordered,Pending,standardization_or_format_normalization
SBRN2065,Purchase Date,2027-06-23 00:00:00,2027-06-23,standardization_or_format_normalization
SBRN2065,Expiration Date,2028-03-11 00:00:00,2028-03-11,standardization_or_format_normalization
SBRN2066,Unit of Measure,PK,PACK,standardization_or_format_normalization
SBRN2066,Manufacturer Name,Med-Supply,MedSupply Corp,standardization_or_format_normalization
SBRN2066,Recall Status,Active Recall,Active,standardization_or_format_normalization
SBRN2066,Order Status,Backordered,Pending,standardization_or_format_normalization
SBRN2066,Purchase Date,2027-06-23 00:00:00,2027-06-23,standardization_or_format_normalization
SBRN2066,Expiration Date,2028-03-11 00:00:00,2028-03-11,standardization_or_format_normalization
SBRN2067,Unit of Measure,PK,PACK,standardization_or_format_normalization
SBRN2067,Recall Status,,None,standardization_or_format_normalization
SBRN2067,Order Status,Received,Delivered,standardization_or_format_normalization
SBRN2067,Purchase Date,2026-08-05 00:00:00,2026-08-05,standardization_or_format_normalization
SBRN2067,Expiration Date,2027-05-02 00:00:00,2027-05-02,standardization_or_format_normalization
SBRN2068,Unit of Measure,PK,PACK,standardization_or_format_normalization
SBRN2068,Recall Status,,None,standardization_or_format_normalization
SBRN2068,Order Status,Received,Delivered,standardization_or_format_normalization
SBRN2068,Purchase Date,2026-08-05 00:00:00,2026-08-05,standardization_or_format_normalization
SBRN2068,Expiration Date,2027-05-02 00:00:00,2027-05-02,standardization_or_format_normalization
SBRN2069,Unit of Measure,PK,PACK,standardization_or_format_normalization
SBRN2069,Recall Status,,None,standardization_or_format_normalization
SBRN2069,Order Status,Received,Delivered,standardization_or_format_normalization
SBRN2069,Purchase Date,2026-08-05 00:00:00,2026-08-05,standardization_or_format_normalization
SBRN2069,Expiration Date,2027-05-02 00:00:00,2027-05-02,standardization_or_format_normalization
SBRN2070,Unit of Measure,PK,PACK,standardization_or_format_normalization
SBRN2070,Recall Status,,None,standardization_or_format_normalization
SBRN2070,Order Status,Received,Delivered,standardization_or_format_normalization
SBRN2070,Purchase Date,2026-08-05 00:00:00,2026-08-05,standardization_or_format_normalization
SBRN2070,Expiration Date,2027-05-02 00:00:00,2027-05-02,standardization_or_format_normalization
SBRN2071,Unit of Measure,PK,PACK,standardization_or_format_normalization
SBRN2071,Recall Status,,None,standardization_or_format_normalization
SBRN2071,Order Status,Received,Delivered,standardization_or_format_normalization
SBRN2071,Purchase Date,2026-08-05 00:00:00,2026-08-05,standardization_or_format_normalization
SBRN2071,Expiration Date,2027-05-02 00:00:00,2027-05-02,standardization_or_format_normalization
SBRN2072,Unit of Measure,PK,PACK,standardization_or_format_normalization
SBRN2072,Recall Status,,None,standardization_or_format_normalization
SBRN2072,Order Status,Received,Delivered,standardization_or_format_normalization
SBRN2072,Purchase Date,2026-08-05 00:00:00,2026-08-05,standardization_or_format_normalization
SBRN2072,Expiration Date,2027-05-02 00:00:00,2027-05-02,standardization_or_format_normalization
SBRN2073,Unit of Measure,PK,PACK,standardization_or_format_normalization
SBRN2073,Recall Status,,None,standardization_or_format_normalization
SBRN2073,Order Status,Received,Delivered,standardization_or_format_normalization
SBRN2073,Purchase Date,2026-08-05 00:00:00,2026-08-05,standardization_or_format_normalization
SBRN2073,Expiration Date,2027-05-02 00:00:00,2027-05-02,standardization_or_format_normalization
SBRN2074,Unit of Measure,PK,PACK,standardization_or_format_normalization
SBRN2074,Order Status,Received,Delivered,standardization_or_format_normalization
SBRN2074,Purchase Date,2021-01-07 00:00:00,2021-01-07,standardization_or_format_normalization
SBRN2074,Expiration Date,2026-06-15 00:00:00,2026-06-15,standardization_or_format_normalization
SBRN2075,Unit of Measure,PK,PACK,standardization_or_format_normalization
SBRN2075,Order Status,Received,Delivered,standardization_or_format_normalization
SBRN2075,Purchase Date,2021-01-07 00:00:00,2021-01-07,standardization_or_format_normalization
SBRN2075,Expiration Date,2026-06-15 00:00:00,2026-06-15,standardization_or_format_normalization
SBRN2076,Unit of Measure,PK,PACK,standardization_or_format_normalization
SBRN2076,Order Status,Received,Delivered,standardization_or_format_normalization
SBRN2076,Purchase Date,2021-01-07 00:00:00,2021-01-07,standardization_or_format_normalization
SBRN2076,Expiration Date,2026-06-15 00:00:00,2026-06-15,standardization_or_format_normalization
SBRN2077,Unit of Measure,PK,PACK,standardization_or_format_normalization
SBRN2077,Order Status,Received,Delivered,standardization_or_format_normalization
SBRN2077,Purchase Date,2021-01-07 00:00:00,2021-01-07,standardization_or_format_normalization
SBRN2077,Expiration Date,2026-06-15 00:00:00,2026-06-15,standardization_or_format_normalization
SBRN2078,Unit of Measure,PK,PACK,standardization_or_format_normalization
SBRN2078,Order Status,Received,Delivered,standardization_or_format_normalization
SBRN2078,Purchase Date,2021-01-07 00:00:00,2021-01-07,standardization_or_format_normalization
SBRN2078,Expiration Date,2026-06-15 00:00:00,2026-06-15,standardization_or_format_normalization
SBRN2079,Unit of Measure,PK,PACK,standardization_or_format_normalization
SBRN2079,Order Status,Received,Delivered,standardization_or_format_normalization
SBRN2079,Purchase Date,2021-01-07 00:00:00,2021-01-07,standardization_or_format_normalization
SBRN2079,Expiration Date,2026-06-15 00:00:00,2026-06-15,standardization_or_format_normalization
SBRN2080,Unit of Measure,Unit,UNIT,standardization_or_format_normalization
SBRN2080,Manufacturer Name,Health Corp,HealthCorp Intl,standardization_or_format_normalization
SBRN2080,Recall Status,,None,standardization_or_format_normalization
SBRN2080,Order Status,Backordered,Pending,standardization_or_format_normalization
SBRN2080,Purchase Date,2028-06-23 00:00:00,2028-06-23,standardization_or_format_normalization
SBRN2080,Expiration Date,2023-08-02 00:00:00,2023-08-02,standardization_or_format_normalization
SBRN2081,Unit of Measure,Unit,UNIT,standardization_or_format_normalization
SBRN2081,Manufacturer Name,Health Corp,HealthCorp Intl,standardization_or_format_normalization
SBRN2081,Recall Status,,None,standardization_or_format_normalization
SBRN2081,Order Status,Backordered,Pending,standardization_or_format_normalization
SBRN2081,Purchase Date,2028-06-23 00:00:00,2028-06-23,standardization_or_format_normalization
SBRN2081,Expiration Date,2023-08-02 00:00:00,2023-08-02,standardization_or_format_normalization
SBRN2082,Unit of Measure,Unit,UNIT,standardization_or_format_normalization
SBRN2082,Manufacturer Name,Health Corp,HealthCorp Intl,standardization_or_format_normalization
SBRN2082,Recall Status,,None,standardization_or_format_normalization
SBRN2082,Order Status,Backordered,Pending,standardization_or_format_normalization
SBRN2082,Purchase Date,2028-06-23 00:00:00,2028-06-23,standardization_or_format_normalization
SBRN2082,Expiration Date,2023-08-02 00:00:00,2023-08-02,standardization_or_format_normalization
SBRN2083,Unit of Measure,Unit,UNIT,standardization_or_format_normalization
SBRN2083,Manufacturer Name,SurgiTech,SurgiTech LLC,standardization_or_format_normalization
SBRN2083,Recall Status,,None,standardization_or_format_normalization
SBRN2083,Order Status,Cancelled,Canceled,standardization_or_format_normalization
SBRN2083,Purchase Date,2025-04-17 00:00:00,2025-04-17,standardization_or_format_normalization
SBRN2083,Expiration Date,2021-12-29 00:00:00,2021-12-29,standardization_or_format_normalization
SBRN2084,Unit of Measure,Unit,UNIT,standardization_or_format_normalization
SBRN2084,Manufacturer Name,SurgiTech,SurgiTech LLC,standardization_or_format_normalization
SBRN2084,Recall Status,,None,standardization_or_format_normalization
SBRN2084,Order Status,Cancelled,Canceled,standardization_or_format_normalization
SBRN2084,Purchase Date,2025-04-17 00:00:00,2025-04-17,standardization_or_format_normalization
SBRN2084,Expiration Date,2021-12-29 00:00:00,2021-12-29,standardization_or_format_normalization
SBRN2085,Unit of Measure,Unit,UNIT,standardization_or_format_normalization
SBRN2085,Manufacturer Name,SurgiTech,SurgiTech LLC,standardization_or_format_normalization
SBRN2085,Recall Status,,None,standardization_or_format_normalization
SBRN2085,Order Status,Cancelled,Canceled,standardization_or_format_normalization
SBRN2085,Purchase Date,2025-04-17 00:00:00,2025-04-17,standardization_or_format_normalization
SBRN2085,Expiration Date,2021-12-29 00:00:00,2021-12-29,standardization_or_format_normalization
SBRN2086,Unit of Measure,Unit,UNIT,standardization_or_format_normalization
